RegionName,City,Metro,CountyName,Year,GrowthRate
98104,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2020,-3.590869461
80202,Denver,"Denver-Aurora-Lakewood, CO",Denver County,2020,-3.588977902
94041,Mountain View,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2021,-3.440612919
90013,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2020,-3.429749342
64114,Kansas City,"Kansas City, MO-KS",Jackson County,2018,-3.407543961
94609,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,2021,-3.402751441
94085,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2021,-3.395966141
2115,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,2020,-3.371650863
85710,Tucson,"Tucson, AZ",Pima County,2020,-3.349240116
98104,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2021,-3.305913245
98121,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2020,-3.298960646
94131,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-3.28837417
65804,Springfield,"Springfield, MO",Greene County,2020,-3.287653259
94122,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-3.284055796
95112,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2020,-3.266585342
94606,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,2021,-3.257503737
90028,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2020,-3.245009486
78218,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,2018,-3.234378262
11106,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2021,-3.231463135
85248,Chandler,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2019,-3.220935612
10031,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-3.207941639
77494,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,2016,-3.173583468
95110,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2020,-3.171982777
99501,Anchorage,"Anchorage, AK",Anchorage Borough,2021,-3.166469998
10027,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-3.158303165
94531,Antioch,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2020,-3.153664176
98403,Tacoma,"Seattle-Tacoma-Bellevue, WA",Pierce County,2019,-3.148390892
94087,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2021,-3.14607649
83646,Meridian,"Boise City, ID",Ada County,2020,-3.125247839
94015,Daly City,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2021,-3.104542852
90401,Santa Monica,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2020,-3.083481974
10037,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2021,-3.012823498
97330,Corvallis,"Corvallis, OR",Benton County,2017,-3.010772977
73106,Oklahoma City,"Oklahoma City, OK",Oklahoma County,2019,-2.975670279
90036,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2020,-2.954952325
60611,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2020,-2.952825587
94131,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-2.943450966
94123,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-2.92289614
94607,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,2021,-2.920132044
94010,Hillsborough,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2021,-2.908068875
48220,Ferndale,"Detroit-Warren-Dearborn, MI",Oakland County,2018,-2.900425764
32839,Oak Ridge,"Orlando-Kissimmee-Sanford, FL",Orange County,2016,-2.892775802
2113,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,2020,-2.889195618
10075,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2021,-2.883383784
94118,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-2.865723974
10031,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2021,-2.81559085
94608,Emeryville,"San Francisco-Oakland-Berkeley, CA",Alameda County,2020,-2.794253198
95126,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2020,-2.762205031
32750,Longwood,"Orlando-Kissimmee-Sanford, FL",Seminole County,2019,-2.760266904
77479,Sugar Land,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,2016,-2.751221296
83651,Nampa,"Boise City, ID",Canyon County,2020,-2.734526741
11201,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2020,-2.721837302
94085,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2020,-2.665847011
33880,Winter Haven,"Lakeland-Winter Haven, FL",Polk County,2019,-2.650130401
94610,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,2020,-2.632839338
20019,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,2022,-2.61431105
37917,Knoxville,"Knoxville, TN",Knox County,2020,-2.612070384
89119,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,2020,-2.605013716
60661,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2020,-2.603745855
94061,Redwood City,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2021,-2.595827454
94025,Menlo Park,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2021,-2.592444721
