RegionName,City,Metro,CountyName,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021,GrowthRate2022
46077,Zionsville,"Indianapolis-Carmel-Anderson, IN",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1097.152107,19.39533737
41005,Burlington,"Cincinnati, OH-KY-IN",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
41091,Union,"Cincinnati, OH-KY-IN",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
46052,Lebanon,"Indianapolis-Carmel-Anderson, IN",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
41048,Hebron,"Cincinnati, OH-KY-IN",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
50036,Boone,"Ames, IA",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
46075,Whitestown,"Indianapolis-Carmel-Anderson, IN",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
71111,Bossier City,"Shreveport-Bossier City, LA",Bossier Parish,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
71112,Bossier City,"Shreveport-Bossier City, LA",Bossier Parish,#DIV/0!,#DIV/0!,-6.743278571,10.78721948,4.481524271,0.475863168,17.93578517
24083,Daleville,"Roanoke, VA",Botetourt County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
80501,Longmont,"Boulder, CO",Boulder County,16.28753343,4.484542837,4.673602643,3.146359038,2.160925972,7.522517841,10.42314948
80503,Longmont,"Boulder, CO",Boulder County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,18.40035584
