CountyName,GrowthRate,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
Alameda County,2.677846911,-2.366863905,6.25,0,1.079913607,25,-5.172413793
Alameda County,2.680318071,-5.202312139,66.66666667,0,0.398406375,0,9.523809524
Alameda County,2.86187825,-8.559498956,-21.56862745,25,13.06666667,33.33333333,5.825242718
Alameda County,3.163302294,-12.12814645,2.158273381,-40,-8.152173913,6.25,3.764705882
Alameda County,3.209606404,-0.397614314,2.5,0,-3.558718861,-40,9.523809524
Alameda County,3.24894316,0.694444444,1.754385965,-22.22222222,-5.791505792,0,-1.470588235
Alameda County,3.251107545,-2.285714286,9.274193548,0,1.195219124,-71.42857143,2.06185567
Alameda County,3.587528705,-6.818181818,-11.88118812,83.33333333,6.666666667,-23.07692308,-6.360424028
Alameda County,3.676143078,-13.72031662,-9.756097561,-20,11.11111111,-20,-11.9266055
Alameda County,3.982122708,-2.503912363,-5.633802817,50,5.988023952,-57.14285714,9.259259259
Alameda County,4.073306732,-6.315789474,16.66666667,0,9.23566879,150,-6.194690265
Alameda County,4.089572819,1.666666667,0.386100386,0,0.823045267,100,0.970873786
Alameda County,4.239008236,3.832752613,23.52941176,75,-38.42975207,100,24.89795918
Alameda County,4.412858363,1.411290323,-5.882352941,0,-1.403508772,-28.57142857,3.278688525
Alameda County,4.570638653,-10.69518717,-4.761904762,45.45454545,1.047120419,75,-3.2
Alameda County,4.57183735,-12.45551601,10.32258065,-16.66666667,2.121212121,-20,-5.240174672
Alameda County,4.621714841,-1.70212766,13.23529412,-16.66666667,-2.777777778,0,-2.985074627
Alameda County,4.640923336,1.100917431,-2.75862069,33.33333333,-0.606060606,0,-4.310344828
Alameda County,4.640949431,-6.352459016,-1.449275362,18.18181818,0.71942446,-33.33333333,6.593406593
Alameda County,4.799017563,0,-6.060606061,25,-1.307189542,0,8.823529412
Alameda County,4.912004542,-8.974358974,5.882352941,0,1.844532279,-16.66666667,4.444444444
Alameda County,5.055372391,-6.052631579,6.666666667,150,21.55172414,-33.33333333,1.875
Alameda County,5.270440917,-4.555314534,0.436681223,25,6.837606838,100,4.411764706
Alameda County,5.434670758,-1.864801865,-2.953586498,12.5,3.592814371,-25,-3.361344538
Alameda County,5.481092713,-4.865771812,-19.04761905,42.85714286,6.711409396,-16.66666667,-1.633986928
Alameda County,5.584581571,0.66518847,0.653594771,25,-8.152173913,0,9.638554217
Alameda County,5.639275298,-9.174311927,16.21621622,75,0.943396226,0,5.208333333
Alameda County,5.984034266,0.498753117,8,-40,0.223214286,-25,1.801801802
Alameda County,6.061745457,-4.835924007,12.61261261,33.33333333,-2.027027027,0,7.142857143
Alameda County,6.532476924,-4.672897196,-1.182033097,0,-3.529411765,16.66666667,-2.419354839
Alameda County,6.81641241,4.076086957,-10.65989848,15.78947368,2.824858757,0,-0.956937799
Alameda County,7.059769714,-9.79020979,-5.714285714,-25,7.731958763,-22.22222222,4.109589041
Alameda County,7.128262605,-5.43071161,-42.85714286,0,9.620991254,-40,7.547169811
Alameda County,7.175020439,-5.742296919,6.25,-20,10.63829787,0,-0.613496933
Alameda County,7.471021096,-2.721088435,-12.5,50,0.134770889,100,3.448275862
Alameda County,7.607189365,-4.677060134,-10.63829787,-33.33333333,4.261363636,-70,3.816793893
